,step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
241,242,1985664,15488,0.0071733447402805,0.859375,0.859375,,,,,
242,243,1991872,15552,0.008951736461316,0.90625,0.90625,,,,,
243,244,1999616,15616,0.0076232801553296,0.84375,0.84375,,,,,
244,245,2015040,15680,0.0033637620964866,0.90625,0.90625,,,,,
245,246,2021248,15744,0.008892567871815,0.8125,0.8125,,,,,
246,247,2032064,15808,0.005038192170577,0.875,0.875,,,,,
247,248,2041344,15872,0.0062185196706621,0.84375,0.84375,,,,,
248,249,2047552,15936,0.0100124584389029,0.796875,0.796875,0.0052410989422053,0.84375,0.84375,,
249,250,2057856,16000,0.0065655425420771,0.78125,0.78125,,,,,
250,251,2068160,16064,0.0046823048768785,0.9375,0.9375,,,,,
251,252,2075392,16128,0.0076960292417271,0.859375,0.859375,,,,,
252,253,2083136,16192,0.0065873579602921,0.890625,0.890625,,,,,
253,254,2088832,16256,0.0106255861460294,0.828125,0.828125,,,,,
254,255,2097600,16320,0.0070875867643546,0.8125,0.8125,,,,,
255,256,2109440,16384,0.0046003591371001,0.859375,0.859375,,,,,
256,257,2116160,16448,0.007880570323281,0.875,0.875,0.0061703828928969,0.875,0.875,,
257,258,2129536,16512,0.0041383417824308,0.84375,0.84375,,,,,
258,259,2136256,16576,0.0083860880617867,0.890625,0.890625,,,,,
259,260,2149120,16640,0.0046785857720903,0.9375,0.9375,,,,,
260,261,2154816,16704,0.0093467891302159,0.90625,0.90625,,,,,
261,262,2161536,16768,0.0091829962694005,0.828125,0.828125,,,,,
262,263,2177472,16832,0.0036119149096445,0.875,0.875,,,,,
263,264,2185216,16896,0.0083894032284706,0.828125,0.828125,,,,,
264,265,2190912,16960,0.0089239722773276,0.875,0.875,0.0116111171333629,0.8125,0.8125,,
265,266,2202240,17024,0.0046600115736553,0.875,0.875,,,,,
266,267,2218688,17088,0.0033161424456621,0.84375,0.84375,,,,,
267,268,2233088,17152,0.0043992480371088,0.796875,0.796875,,,,,
268,269,2240832,17216,0.0061251111765463,0.984375,0.984375,,,,,
269,270,2250624,17280,0.0051902000787248,0.859375,0.859375,,,,,
270,271,2257344,17344,0.0083662075920672,0.875,0.875,,,,,
271,272,2265600,17408,0.0067013351221299,0.859375,0.859375,,,,,
272,273,2274880,17472,0.0055824714698842,0.90625,0.90625,0.0073906466843481,0.9375,0.9375,,
273,274,2288256,17536,0.0039075316616427,0.890625,0.890625,,,,,
274,275,2296512,17600,0.0062981550980718,0.859375,0.859375,,,,,
275,276,2301696,17664,0.0095040191774489,0.890625,0.890625,,,,,
276,277,2315584,17728,0.0035767734283326,0.890625,0.890625,,,,,
277,278,2331008,17792,0.0036080584297686,0.828125,0.828125,,,,,
278,279,2343360,17856,0.004136085541935,0.90625,0.90625,,,,,
279,280,2349568,17920,0.0084671550522028,0.890625,0.890625,,,,,
280,281,2354752,17984,0.0091064626269799,0.890625,0.890625,0.0072648525075302,0.859375,0.859375,,
281,282,2361472,18048,0.0069363974585544,0.890625,0.890625,,,,,
282,283,2367680,18112,0.0088624015024692,0.890625,0.890625,,,,,
283,284,2384640,18176,0.0032918189488822,0.890625,0.890625,,,,,
284,285,2389824,18240,0.00824618300169,0.96875,0.96875,,,,,
285,286,2394496,18304,0.0117717304695468,0.8125,0.8125,,,,,
286,287,2401216,18368,0.0063185487376457,0.890625,0.890625,,,,,
287,288,2407424,18432,0.010423849795186,0.828125,0.828125,,,,,
288,289,2414144,18496,0.0077259311476502,0.90625,0.90625,0.0075739815968839,0.890625,0.890625,,
289,290,2421376,18560,0.0083894624297132,0.796875,0.796875,,,,,
290,291,2427072,18624,0.0090396910052874,0.8125,0.8125,,,,,
291,292,2435328,18688,0.0068934992131852,0.859375,0.859375,,,,,
292,293,2440512,18752,0.0123283414472933,0.8125,0.8125,,,,,
293,294,2446720,18816,0.0092657275612021,0.875,0.875,,,,,
294,295,2454976,18880,0.0064804012467408,0.890625,0.890625,,,,,
295,296,2464768,18944,0.0063036653488048,0.78125,0.78125,,,,,
296,297,2472000,19008,0.0070210340507843,0.890625,0.890625,0.0078531116369439,0.875,0.875,,
297,298,2478720,19072,0.0082162210240343,0.875,0.875,,,,,
298,299,2485952,19136,0.0056680570427768,0.890625,0.890625,,,,,
299,300,2493184,19200,0.0069489059194112,0.90625,0.90625,,,,,
300,301,2502976,19264,0.0062268129111636,0.828125,0.828125,,,,,
301,302,2509184,19328,0.0084344893808769,0.859375,0.859375,,,,,
302,303,2523072,19392,0.0039699469799836,0.84375,0.84375,,,,,
303,304,2531840,19456,0.0056747827094931,0.84375,0.84375,,,,,
304,305,2537536,19520,0.0090738887452554,0.875,0.875,0.0065762045090664,0.921875,0.921875,,
305,306,2550912,19584,0.0045574561960589,0.828125,0.828125,,,,,
306,307,2558656,19648,0.0059332895324432,0.953125,0.953125,,,,,
307,308,2567936,19712,0.0051897698067465,0.890625,0.890625,,,,,
308,309,2573120,19776,0.0091913345206325,0.90625,0.90625,,,,,
309,310,2579328,19840,0.0093227571110389,0.859375,0.859375,,,,,
310,311,2588608,19904,0.0056022687984984,0.921875,0.921875,,,,,
311,312,2595328,19968,0.0085622328368533,0.90625,0.90625,,,,,
312,313,2604608,20032,0.005342286885852,0.9375,0.9375,0.0043064077766762,0.828125,0.828125,,
313,314,2623104,20096,0.00266072102877,0.890625,0.890625,,,,,
314,315,2629824,20160,0.0076356677150155,0.890625,0.890625,,,,,
315,316,2638592,20224,0.0067258849859938,0.828125,0.828125,,,,,
